Año	Título	Corpus estilométrico
1970	Te busqué siempre	No
1970	Te debes a tu nombre	No
1970	Tengo la culpa yo	No
1970	Tiene la culpa tu miedo	Sí
1970	Tú no llegaste tarde	Sí
1970	Yo me ocupo de ti	No
1971	¿Qué hacemos tú y yo casados?	Sí
1971	A bordo viaja el destino	No
1971	Ahora sí lo entiendo	No
1971	Aquel bello amanecer	No
1971	Confundí tu cobardía	Sí
1971	Confusa turbación	No
1971	Debes conquistar a tu marido	Sí
1971	Desconozco a mi marido	No
1971	Dime que no llegué tarde	No
1971	El destino soy yo	No
1971	El ídolo	No
1971	El papá de Baby	Sí
1971	Eres demasiado duro	Sí
1971	Eres mi mujer y me dejaste	Sí
1971	Juegas con los sentimientos	Sí
1971	La dignidad de tu amor	No
1971	La mentira de mi verdad	No
1971	Llama a tu marido	No
1971	Me callo por tu bien	No
1971	Me caso con mi marido	Sí
1971	Me emociona tu delicadeza	Sí
1971	Mi mujer eres tú	No
1971	Mi senda eres tú	No
1971	No esperaba encontrarte	No
1971	No importa la edad	Sí
1971	No me caso contigo	No
1971	No quiero seguir a tu lado	Sí
1971	No sé si creer en ti	Sí
1971	No sé si estoy casada	Sí
1971	No sé si se casará conmigo	Sí
1971	No sirvo para la aventura	No
1971	No soy de los que se casan	No
1971	No soy tu mujer	Sí
1971	No tengo derecho a nada	Sí
1971	Nunca es tarde para mí	No
1971	Nunca te tuve miedo	Sí
1971	O vives como yo…	Sí
1971	Odio tu silencio	No
1971	Quédate conmigo	No
1971	Siempre estuve a tu lado	No
1971	Sólo intenté ayudarte	No
1971	Soy la mujer de Chuck	No
1971	Te engañas al juzgarme	Sí
1971	Te vi pasar	No
1971	Tengo algo que preguntarte	No
1971	Tengo que retenerte	No
1971	Tregua sentimental	No
1971	Tres meses de prueba	Sí
1971	Tú me llevaste a él	Sí
1971	Un día me di cuenta	No
1971	Yo creía en ti	Sí
1971	Yo me caso contigo	Sí
1971	Yo sí me caso	Sí
1972	¡Cuidado con el paleto!	Sí
1972	¡Mi querido tonto!	No
1972	¿Siempre lo supiste?	No
1972	Agencia matrimonial	No
1972	Aprendí después	Sí
1972	Aquella estatua	No
1972	Defiende nuestro matrimonio	No
1972	El destino entre la nieve	No
1972	El destino llegó aquel día	No
1972	El tutor de Mauren	No
1972	Elegí el mejor	No
1972	Fui a encontrarte allí	No
1972	Íntima inquietud	No
1972	Junto a ti es fácil olvidar	No
1972	La chica de la estación	No
1972	Lo aprendí en un día	No
1972	María Dorel	No
1972	Me da miedo tu amor	No
1972	Me dejaron con él	Sí
1972	Me dejas así	No
1972	Me gustaría conocerte	No
1972	Me voy a casar contigo	Sí
1972	Mi marido lo sabía	No
1972	Mi mujer es una ingenua	No
1972	Mi querido tonto	No
1972	Necesito casarme	No
1972	No es posible que te cases con él	No
1972	No esperes por él	No
1972	No necesitas decirme nada	No
1972	No por eso te quiero menos	Sí
1972	No se lo digas a ella	No
1972	No te has vendido	No
1972	No te niego mi amor	No
1972	Nos casamos el jueves	No
1972	Nos vimos otra vez	Sí
1972	Nunca me di cuenta	No
1972	Nunca te buscaría	No
1972	Quiero hablar con mi esposa	No
1972	Seguimos queriéndonos	No
1972	Si me quieres a mí	Sí
1972	Silenciosamente encadenados	No
1972	Sólo seré novia formal	No
1972	Te miento por aquello	Sí
1972	Tessa tiene razón	No
1972	Tú entiendes la felicidad	No
1972	Tu vida es una mentira	No
1972	Volvamos a empezar	No
1972	Vuelve conmigo	No
1972	Vuelvo a casa	No
1972	Ya puedes ser mi mujer	Sí
1973	Antes eras mejor	Sí
1973	Aquella linda muchacha	No
1973	Aquí está mi esposa	No
1973	Cásate con él, Zulaika	No
1973	Digámonos adiós	Sí
1973	El hijo de mi marido	No
1973	El padre de Desi	Sí
1973	Él te engaña	No
1973	Falso novio	No
1973	Intenta convencerme	No
1973	La segunda esperanza	Sí
1973	La tía de Kitty	Sí
1973	Las chicas de la estación	No
1973	Matrimonio en apuros	No
1973	Me casé con mi empleado	No
1973	Me gustaría estar contigo	Sí
1973	Mi falso novio	No
1973	Mi prima Ann	No
1973	No comprendo a mi mujer	No
1973	No he venido a buscarte	No
1973	No importa lo que seas	No
1973	No sabía que eras tú	Sí
1973	No vuelve el recuerdo	No
1973	Nuestro vecino	Sí
1973	Prefiero mi independencia	No
1973	Regresa, Eric	No
1973	Respeta mi libertad	No
1973	Son rosas para Nancy	No
1973	Te admiré antes	No
